中文名称,链接,评分,评语
肖申克的救赎,https://movie.douban.com/subject/1292052/,9.7,希望让人自由。
霸王别姬,https://movie.douban.com/subject/1291546/,9.6,风华绝代。
泰坦尼克号,https://movie.douban.com/subject/1292722/,9.5,失去的才是永恒的。 
阿甘正传,https://movie.douban.com/subject/1292720/,9.5,一部美国近现代史。
千与千寻,https://movie.douban.com/subject/1291561/,9.4,最好的宫崎骏，最好的久石让。 
美丽人生,https://movie.douban.com/subject/1292063/,9.5,最美的谎言。
星际穿越,https://movie.douban.com/subject/1889243/,9.4,爱是一种力量，让我们超越时空感知它的存在。
这个杀手不太冷,https://movie.douban.com/subject/1295644/,9.4,怪蜀黍和小萝莉不得不说的故事。
盗梦空间,https://movie.douban.com/subject/3541415/,9.4,诺兰给了我们一场无法盗取的梦。
楚门的世界,https://movie.douban.com/subject/1292064/,9.4,如果再也不能见到你，祝你早安，午安，晚安。
辛德勒的名单,https://movie.douban.com/subject/1295124/,9.5,拯救一个人，就是拯救整个世界。
忠犬八公的故事,https://movie.douban.com/subject/3011091/,9.4,永远都不能忘记你所爱的人。
海上钢琴师,https://movie.douban.com/subject/1292001/,9.3,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
疯狂动物城,https://movie.douban.com/subject/25662329/,9.3,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,9.2,英俊版憨豆，高情商版谢耳朵。
机器人总动员,https://movie.douban.com/subject/2131459/,9.3,小瓦力，大人生。
放牛班的春天,https://movie.douban.com/subject/1291549/,9.3,天籁一般的童声，是最接近上帝的存在。 
无间道,https://movie.douban.com/subject/1307914/,9.3,香港电影史上永不过时的杰作。
控方证人,https://movie.douban.com/subject/1296141/,9.6,比利·怀德满分作品。
大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,9.2,一生所爱。
熔炉,https://movie.douban.com/subject/5912992/,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
寻梦环游记,https://movie.douban.com/subject/20495023/,9.1,死亡不是真的逝去，遗忘才是永恒的消亡。
触不可及,https://movie.douban.com/subject/6786002/,9.3,满满温情的高雅喜剧。
教父,https://movie.douban.com/subject/1291841/,9.3,千万不要记恨你的对手，这样会让你失去理智。
当幸福来敲门,https://movie.douban.com/subject/1849031/,9.1,平民励志片。 
末代皇帝,https://movie.douban.com/subject/1293172/,9.3,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,9.2,童话世界的开端。
龙猫,https://movie.douban.com/subject/1291560/,9.2,人人心中都有个龙猫，童年就永远不会消失。
活着,https://movie.douban.com/subject/1292365/,9.3,张艺谋最好的电影。
怦然心动,https://movie.douban.com/subject/3319755/,9.1,真正的幸福是来自内心深处。
蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,9.2,无尽的黑暗。
指环王3：王者无敌,https://movie.douban.com/subject/1291552/,9.3,史诗的终章。
我不是药神,https://movie.douban.com/subject/26752088/,9.0,对我们国家而言，这样的电影多一部是一部。
乱世佳人,https://movie.douban.com/subject/1300267/,9.3,Tomorrow is another day.
飞屋环游记,https://movie.douban.com/subject/2129039/,9.1,最后那些最无聊的事情，才是最值得怀念的。 
让子弹飞,https://movie.douban.com/subject/3742360/,9.0,你给我翻译翻译，神马叫做TMD的惊喜。
哈尔的移动城堡,https://movie.douban.com/subject/1308807/,9.1,带着心爱的人在天空飞翔。
十二怒汉,https://movie.douban.com/subject/1293182/,9.4,1957年的理想主义。 
海蒂和爷爷,https://movie.douban.com/subject/25958717/,9.3,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。
素媛,https://movie.douban.com/subject/21937452/,9.3,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
猫鼠游戏,https://movie.douban.com/subject/1305487/,9.1,骗子大师和执著警探的你追我跑故事。 
天空之城,https://movie.douban.com/subject/1291583/,9.2,对天空的追逐，永不停止。 
鬼子来了,https://movie.douban.com/subject/1291858/,9.3,对敌人的仁慈，就是对自己残忍。
摔跤吧！爸爸,https://movie.douban.com/subject/26387939/,9.0,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
